sku,component,failure_date,failure_type,failure_count
HP-17-DP0199NR,Keyboard,2025-09-09,Keyboard Failure,1
HP-16-BU0007DX,Battery,2025-09-20,Battery Degradation,3
HP-16-BU0007DX,Display,2025-10-01,Screen Failure,3
HP-16-BU0007DX,Mainboard,2025-10-12,Power Failure,1
HP-16-BU0007DX,Keyboard,2025-10-23,Keyboard Failure,1
HP-16-BU0305DX,Battery,2025-11-03,Battery Degradation,4
HP-16-BU0305DX,Display,2025-11-14,Screen Failure,2
HP-16-BU0305DX,Mainboard,2025-11-25,Power Failure,1
HP-16-BU0305DX,Keyboard,2025-12-06,Keyboard Failure,2
HP-15-FD0153DX,Battery,2025-12-17,Battery Degradation,3
HP-15-FD0153DX,Display,2025-12-28,Screen Failure,2
HP-15-FD0153DX,Mainboard,2026-01-08,Power Failure,2
HP-15-FD0153DX,Keyboard,2026-01-19,Keyboard Failure,1
HP-14-KC0013DX,Battery,2026-01-30,Battery Degradation,3
HP-14-KC0013DX,Display,2026-02-10,Screen Failure,3
HP-14-KC0013DX,Mainboard,2026-02-21,Power Failure,1
HP-14-KC0013DX,Keyboard,2026-03-04,Keyboard Failure,1
HP-16-BE0005CL,Battery,2026-03-15,Battery Degradation,4
HP-16-BE0005CL,Display,2026-03-26,Screen Failure,2
HP-16-BE0005CL,Mainboard,2026-04-06,Power Failure,1
HP-16-BE0005CL,Keyboard,2026-04-17,Keyboard Failure,2
DELL-DC16256,Battery,2026-04-28,Battery Degradation,3
DELL-DC16256,Display,2026-05-09,Screen Failure,2
DELL-DC16256,Mainboard,2026-05-20,Power Failure,2
DELL-DC16256,Keyboard,2025-01-16,Keyboard Failure,1
DELL-DC15205,Battery,2025-01-27,Battery Degradation,3
DELL-DC15205,Display,2025-02-07,Screen Failure,3
DELL-DC15205,Mainboard,2025-02-18,Power Failure,1
DELL-DC15205,Keyboard,2025-03-01,Keyboard Failure,1
